,Date,Timestamp,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium,Illuvium
,07/07/2021,1625616000,18467120.859833166,,,18467120.859833166,14332937.702009473,26822370.48107011,18467120.859833166,0,,,,,18467120.859833166,0,14332937.702009473,13395075.360115167,13427295.12095494,,1590221.1471185002,0,,,,,1590221.1471185002,0,181765.47295745977,169871.8196333747,5930.108072765493,
,08/07/2021,1625702400,15342362.097498931,,,15342362.097498931,14536001.097222691,28405906.42126432,15342362.097498931,0,,,,,15342362.097498931,0,14536001.097222691,14162138.692505829,14243767.72875849,,1372652.322917331,0,,,,,1372652.322917331,0,183011.4637317379,178304.45349805173,5996.652636695085,
,09/07/2021,1625788800,17851284.567344587,,,17851284.567344587,14080896.502323275,26235081.45896995,17851284.567344587,0,,,,,17851284.567344587,0,14080896.502323275,12983579.15653318,13251502.302436773,,1825038.2180234375,0,,,,,1825038.2180234375,0,190430.50133636853,175590.3459350826,6075.130511560286,
,10/07/2021,1625875200,18791225.65368526,,,18791225.65368526,14314282.075485798,25857128.749741144,18791225.65368526,0,,,,,18791225.65368526,0,14314282.075485798,12668521.33607166,13188607.413669486,,1768404.0542107061,0,,,,,1768404.0542107061,0,195173.4570677558,172733.71392702678,6281.849524212412,
,11/07/2021,1625961600,18933429.230191234,,,18933429.230191234,18528996.01295816,30796433.15372316,18933429.230191234,0,,,,,18933429.230191234,0,18528996.01295816,15057548.611621408,15738884.542101754,,1734827.5536502532,0,,,,,1734827.5536502532,0,202690.7452165341,164716.19655427162,7466.871735050533,
,12/07/2021,1626048000,19197042.69213562,,,19197042.69213562,19912695.603700034,32038378.725476667,19197042.69213562,0,,,,,19197042.69213562,0,19912695.603700034,15744118.459002435,16294260.26647423,,1709520.6933791349,0,,,,,1709520.6933791349,0,206913.64135400183,163597.78430277578,7674.924842123561,
,13/07/2021,1626134400,23839497.591665767,,,23839497.591665767,23394671.85877297,35758253.753485195,23839497.591665767,0,,,,,23839497.591665767,0,23394671.85877297,17473193.777077995,18285059.9764072,,1858962.2755332831,0,,,,,1858962.2755332831,0,210316.61272472562,157082.90122050652,8662.0598520879,
,14/07/2021,1626220800,21290817.163918357,,,21290817.163918357,22756152.56951936,33552461.185637258,21290817.163918357,0,,,,,21290817.163918357,0,22756152.56951936,16388009.573019648,17164451.61261761,,1782583.711147848,0,,,,,1782583.711147848,0,218235.44585842922,157163.85118153074,8499.922343950895,
,15/07/2021,1626307200,7066985.406853316,,,7066985.406853316,23137223.057329834,34646269.5637307,7066985.406853316,0,,,,,7066985.406853316,0,23137223.057329834,17165932.31667171,17480337.247058995,,667230.3216725077,0,,,,,667230.3216725077,0,221665.18074919537,164457.48395454237,8958.433010194592,
,16/07/2021,1626393600,1460962.4531170046,,,1460962.4531170046,27572522.611429513,36541438.509647,1460962.4531170046,0,,,,,1460962.4531170046,0,27572522.611429513,19010431.57774608,17531006.93190092,,149028.95152271847,0,,,,,149028.95152271847,0,236442.6515673438,163020.1528175955,9118.337154731982,
,17/07/2021,1626480000,928198.1699124862,,,928198.1699124862,25439914.212128196,36256517.29609032,928198.1699124862,0,,,,,928198.1699124862,0,25439914.212128196,19274694.05580209,16981823.240288228,,103071.63873962083,0,,,,,103071.63873962083,0,233971.19201321498,177269.58928879106,9137.2442530659,
,18/07/2021,1626566400,688292.0228161208,,,688292.0228161208,24243965.982503712,35294899.92209116,688292.0228161208,0,,,,,688292.0228161208,0,24243965.982503712,17608488.266672812,17686411.65541835,,77672.88886158926,0,,,,,77672.88886158926,0,240949.7483322864,175002.75406378356,9468.069078021712,
,19/07/2021,1626652800,574813.674372033,,,574813.674372033,25041870.807097603,37647336.26724005,574813.674372033,0,,,,,574813.674372033,0,25041870.807097603,19471960.41669759,18175375.85054246,,61083.816584910426,0,,,,,61083.816584910426,0,234433.94427997462,182290.2337654474,9235.630577997452,
,20/07/2021,1626739200,469472.18887027656,,,469472.18887027656,21106475.42224435,35538722.50834777,469472.18887027656,0,,,,,469472.18887027656,0,21106475.42224435,18015540.558435157,17523181.949912615,,55931.25276177841,0,,,,,55931.25276177841,0,225049.05054181817,192091.77357013818,9367.48583480526,
,21/07/2021,1626825600,296396.92661769857,,,296396.92661769857,19077301.04957239,32605355.836274244,296396.92661769857,0,,,,,296396.92661769857,0,19077301.04957239,16050765.962944813,16554589.873329433,,39647.9222165558,0,,,,,39647.9222165558,0,227827.72207218717,191683.7941252428,9414.929320227526,
,23/07/2021,1626998400,305974.6699740874,,,305974.6699740874,24308739.79036134,39247377.60529661,305974.6699740874,0,,,,,305974.6699740874,0,24308739.79036134,19663388.63905147,19583988.966245137,,35071.51564506739,0,,,,,35071.51564506739,0,229528.88069278104,185666.37447566105,9847.848932644652,
,24/07/2021,1627084800,292377.0064916846,,,292377.0064916846,26776273.30108461,41290150.252056204,292377.0064916846,0,,,,,292377.0064916846,0,26776273.30108461,19528180.692001346,21761969.560054857,,34531.11808488267,0,,,,,34531.11808488267,0,240185.95847206019,175169.81336360693,10587.403808297093,
,25/07/2021,1627171200,287165.65010909253,,,287165.65010909253,36397443.14155667,49340526.506206945,287165.65010909253,0,,,,,287165.65010909253,0,36397443.14155667,24701350.673873536,24639175.832333412,,32984.14020552491,0,,,,,32984.14020552491,0,250358.7245398877,169907.50215810307,11432.776501875303,
,26/07/2021,1627257600,259417.0110653161,,,259417.0110653161,37386456.24201793,49903693.056025505,259417.0110653161,0,,,,,259417.0110653161,0,37386456.24201793,25162843.825606994,24740849.230418507,,31043.42600272492,0,,,,,31043.42600272492,0,254953.5004552904,171595.6996089455,11385.629799099166,
,27/07/2021,1627344000,381995.7531049778,,,381995.7531049778,39833782.30872884,54555471.046653315,286761.7417821324,95234.01132284534,,,,,286761.7417821324,95234.01132284534,39833782.30872884,27520373.622108914,27035097.424544398,,30940.42600272492,2352.462654790522,,,,,30940.42600272492,2352.462654790522,255326.2187183948,176399.8427312477,11491.971383053653,
,28/07/2021,1627430400,8673268.518693354,,,8673268.518693354,39116385.36896986,53489056.31109795,287015.3127226636,8386253.20597069,,,,,287015.3127226636,8386253.20597069,39116385.36896986,25527474.65565592,27961581.655442026,,30940.42600272492,171142.5797001566,,,,,30940.42600272492,171142.5797001566,261371.84456511692,170572.07804100774,12403.437566131337,
,29/07/2021,1627516800,49769680.02112563,,,49769680.02112563,48329623.38591606,59508258.53931053,281026.60660526523,49488653.41452037,,,,,281026.60660526523,49488653.41452037,48329623.38591606,28617880.40310613,30890378.136204403,,30408.47229989536,1074082.0054042684,,,,,30408.47229989536,1074082.0054042684,268924.486587627,159240.81868335363,13388.66985095092,
,30/07/2021,1627603200,74092389.45479384,,,74092389.45479384,57118759.955083065,65697807.601791635,288489.88256979134,73803899.57222405,,,,,288489.88256979134,73803899.57222405,57118759.955083065,33405508.594054144,32292299.007737495,,30408.47229989536,1685398.3401490215,,,,,30408.47229989536,1685398.3401490215,271467.0772248091,158765.62776165633,13954.6960294642,
,31/07/2021,1627689600,73087310.58771874,,,73087310.58771874,58414686.76782122,67122228.70890138,282034.9943984325,72805275.59332031,,,,,282034.9943984325,72805275.59332031,58414686.76782122,33845211.80091505,33277016.907986324,,30408.47229989536,1699921.2408003693,,,,,30408.47229989536,1699921.2408003693,274133.3183001675,158831.63520903853,14141.005580523228,
,01/08/2021,1627776000,73000284.8837512,,,73000284.8837512,63213504.21931769,71102214.91981596,252832.8617934335,72747452.02195777,,,,,252832.8617934335,72747452.02195777,63213504.21931769,34905043.137786195,36197171.782029755,,25394.29541590914,1706578.4269731946,,,,,25394.29541590914,1706578.4269731946,279462.21136420313,154312.60556613267,14675.424461664663,
,02/08/2021,1627862400,69384659.60668361,,,69384659.60668361,70949779.64235547,78222277.09764533,253272.9822024065,69131386.6244812,,,,,253272.9822024065,69131386.6244812,70949779.64235547,39151633.881397136,39070643.21624819,,25314.395415909137,1702621.2897912317,,,,,25314.395415909137,1702621.2897912317,280420.03358964634,154741.8828282978,15070.84742732887,
,03/08/2021,1627948800,71855194.83419201,,,71855194.83419201,68161813.76101816,79560237.14971879,243249.21230738098,71611945.62188463,,,,,243249.21230738098,71611945.62188463,68161813.76101816,39380422.75667249,40179814.39304631,,25314.395415909137,1703827.4648554188,,,,,25314.395415909137,1703827.4648554188,278691.3931495638,161013.68604062076,15416.764111819954,
,04/08/2021,1628035200,66028920.68773433,,,66028920.68773433,67410550.24088071,79191275.44804613,231252.2241381466,65797668.46359618,,,,,231252.2241381466,65797668.46359618,67410550.24088071,39744240.34639322,39447035.10165291,,25314.395415909137,1702157.1528554189,,,,,25314.395415909137,1702157.1528554189,277858.6816598619,163821.2740700102,15700.594443206035,
,05/08/2021,1628121600,74037845.8928869,,,74037845.8928869,68289017.1602841,78582380.19388893,231922.91842348405,73805922.97446342,,,,,231922.91842348405,73805922.97446342,68289017.1602841,38322176.93962199,40260203.25426695,,25264.395415909137,1702383.5644399691,,,,,25264.395415909137,1702383.5644399691,278341.11824522866,156198.43463158613,16161.718680735023,
,06/08/2021,1628208000,73175034.6115577,,,73175034.6115577,92421616.22394654,98182490.0104664,247139.77968814154,72927894.83186957,,,,,247139.77968814154,72927894.83186957,92421616.22394654,49627439.936498985,48555050.07396742,,24300.863292835944,1706714.1313332454,,,,,24300.863292835944,1706714.1313332454,285630.98007833405,153374.66370954967,16812.690468825283,
,07/08/2021,1628294400,71266456.17895189,,,71266456.17895189,106881645.98451357,108751291.38409472,255888.09047356248,71010568.08847833,,,,,255888.09047356248,71010568.08847833,106881645.98451357,54300256.99702983,54451034.387064874,,24300.863292835944,1704935.6083668268,,,,,24300.863292835944,1704935.6083668268,294740.22001630743,149740.11250318462,17551.99721077304,
,08/08/2021,1628380800,71981917.53093304,,,71981917.53093304,103713029.08996278,108427171.91624293,237662.4430039355,71744255.0879291,,,,,237662.4430039355,71744255.0879291,103713029.08996278,54293041.80071565,54134130.11552728,,24300.863292835944,1679013.6926732764,,,,,24300.863292835944,1679013.6926732764,292776.16613020207,153266.26524592267,17779.55756994925,
,09/08/2021,1628467200,73992607.40391512,,,73992607.40391512,110681354.22004399,114358070.37793452,247625.79695399824,73744981.60696113,,,,,247625.79695399824,73744981.60696113,110681354.22004399,57234742.90840183,57123327.469532676,,24300.863292835944,1679075.17320039,,,,,24300.863292835944,1679075.17320039,293459.9486160886,151751.89020151083,18131.281453189826,
,10/08/2021,1628553600,74589065.8204829,,,74589065.8204829,104783856.58516517,110900421.50833344,248078.03915974274,74340987.78132315,,,,,248078.03915974274,74340987.78132315,104783856.58516517,54420953.10112747,56479468.40720597,,24300.863292835944,1679080.1732003903,,,,,24300.863292835944,1679080.1732003903,293208.4810281536,152281.90214507762,18079.514438044316,
,11/08/2021,1628640000,57609017.488073304,,,57609017.488073304,110169003.77103788,114729986.83957896,240536.53498101849,57368480.953092285,,,,,240536.53498101849,57368480.953092285,110169003.77103788,57251838.19716457,57478148.642414376,,23498.73372416926,1001524.4611552567,,,,,23498.73372416926,1001524.4611552567,294241.5374256652,152909.33306966786,18364.75743987595,
,12/08/2021,1628726400,31008273.5967394,,,31008273.5967394,134469265.24548233,126831187.78511052,252594.94111386433,30755678.655625537,,,,,252594.94111386433,30755678.655625537,134469265.24548233,63354580.3863094,63476607.39880112,,23498.73372416926,451247.8553953197,,,,,23498.73372416926,451247.8553953197,303682.17475415685,143078.47014132378,19687.02576197963,
,13/08/2021,1628812800,18471333.347679812,,,18471333.347679812,158661480.92749846,143677435.90027064,273680.3064368698,18197653.041242942,,,,,273680.3064368698,18197653.041242942,158661480.92749846,72774228.58574712,70903207.31452352,,22655.654506363393,260636.68062507795,,,,,22655.654506363393,260636.68062507795,305165.1810422728,139971.97373778105,21428.806785136367,
,14/08/2021,1628899200,10986288.467747848,,,10986288.467747848,163391594.30151474,145693730.19864476,294750.06512778776,10691538.40262006,,,,,294750.06512778776,10691538.40262006,163391594.30151474,73238826.53739797,72454903.66124679,,22655.654506363393,157715.56870659476,,,,,22655.654506363393,157715.56870659476,308606.27878272685,138330.01518065532,22177.2664462599,
,15/08/2021,1628985600,10470113.46312249,,,10470113.46312249,159938481.16049093,145977721.5828272,293617.2824024696,10176496.180720022,,,,,293617.2824024696,10176496.180720022,159938481.16049093,72585027.04281469,73392694.54001254,,22655.654506363393,151639.04307435587,,,,,22655.654506363393,151639.04307435587,308731.74628026434,140112.01050635014,22229.97120720533,
,16/08/2021,1629072000,9649260.79782251,,,9649260.79782251,139216253.0481056,135588515.47876948,275945.8718875061,9373314.925935004,,,,,275945.8718875061,9373314.925935004,139216253.0481056,68081145.96975787,67507369.5090116,,22655.654506363393,141100.6311295349,,,,,22655.654506363393,141100.6311295349,307517.5124209883,150385.77890870065,21349.241634070175,
,17/08/2021,1629158400,10060942.963525934,,,10060942.963525934,126482200.24388285,129421783.90370741,256915.12210216088,9804027.841423774,,,,,256915.12210216088,9804027.841423774,126482200.24388285,64294952.7975834,65126831.10612402,,22655.654506363393,137851.9100312679,,,,,22655.654506363393,137851.9100312679,307540.5457336612,156332.70794753666,21464.03901685898,
,18/08/2021,1629244800,9655486.547181541,,,9655486.547181541,135307048.68219215,136510699.81140167,263485.2619090063,9392001.285272535,,,,,263485.2619090063,9392001.285272535,135307048.68219215,68043066.70473385,68467633.10666783,,22655.654506363393,134671.65594024284,,,,,22655.654506363393,134671.65594024284,309343.96132188424,155562.56676893885,22444.283379664008,
,19/08/2021,1629331200,9492256.12623018,,,9492256.12623018,136534306.13638932,139790495.94510162,278047.12032428785,9214209.005905893,,,,,278047.12032428785,9214209.005905893,136534306.13638932,70440105.74618696,69350390.19891465,,22513.93686836339,130438.97233728615,,,,,22513.93686836339,130438.97233728615,309391.13105911925,159619.54621841596,22302.961661927806,
,20/08/2021,1629417600,9414082.721746149,,,9414082.721746149,152231989.43921733,151126790.99784523,277397.4455273624,9136685.276218787,,,,,277397.4455273624,9136685.276218787,152231989.43921733,75506990.59325173,75619800.40459348,,22209.56329282325,125400.56651412006,,,,,22209.56329282325,125400.56651412006,311115.6310707268,154313.19734575573,23182.74637622045,
,21/08/2021,1629504000,9919877.137890227,,,9919877.137890227,154609264.71816924,154366490.15083292,294429.4789801209,9625447.658910107,,,,,294429.4789801209,9625447.658910107,154609264.71816924,77147533.51731639,77218956.63351654,,22087.73285672325,124698.11709949614,,,,,22087.73285672325,124698.11709949614,310516.4883576735,154942.7276361519,23746.380990804082,
,22/08/2021,1629590400,9763180.516261226,,,9763180.516261226,146555659.35555577,152829625.097821,293928.2656229571,9469252.250638269,,,,,293928.2656229571,9469252.250638269,146555659.35555577,75541007.74361435,77288617.35420665,,21967.73285672325,123185.27709949613,,,,,21967.73285672325,123185.27709949613,308421.354761471,158973.4579393374,23939.630214282464,
,23/08/2021,1629676800,9760447.175520869,,,9760447.175520869,158858944.52443898,163245672.67116496,299200.52150857064,9461246.654012298,,,,,299200.52150857064,9461246.654012298,158858944.52443898,83100372.0799571,80145300.59120786,,21967.73285672325,123177.27709949613,,,,,21967.73285672325,123177.27709949613,307015.3344886052,160602.15310275226,24030.565610801306,
,24/08/2021,1629763200,8905653.198776767,,,8905653.198776767,142679618.04539904,154863604.75995803,271740.8554376666,8633912.3433391,,,,,271740.8554376666,8633912.3433391,142679618.04539904,77969356.57518263,76894248.18477538,,21967.73285672325,121177.71709949613,,,,,21967.73285672325,121177.71709949613,302723.4533764726,165427.6427378058,23861.823249415167,
,25/08/2021,1629849600,5006278.103832484,,,5006278.103832484,140186552.06138074,153871203.4282218,274816.33803760784,4731461.765794876,,,,,274816.33803760784,4731461.765794876,140186552.06138074,76906164.07743888,76965039.35078292,,21967.73285672325,64216.36489949614,,,,,21967.73285672325,64216.36489949614,303243.74756404146,166359.13404451509,23943.00821922561,
,26/08/2021,1629936000,4725487.2606545985,,,4725487.2606545985,157104970.00863963,161719197.83739826,255752.5351133049,4469734.725541294,,,,,255752.5351133049,4469734.725541294,157104970.00863963,82352346.19086508,79366851.64653318,,21840.52392086293,63391.500858619955,,,,,21840.52392086293,63391.500858619955,303784.0707104951,159239.5896644464,25394.79210017956,
,27/08/2021,1630022400,4857112.380903696,,,4857112.380903696,155848002.96282265,171005386.40027693,268201.63374819676,4588910.747155499,,,,,268201.63374819676,4588910.747155499,155848002.96282265,85132095.00546646,85873291.39481047,,21840.52392086293,63391.500858619955,,,,,21840.52392086293,63391.500858619955,299557.91904590523,163633.75044298323,26233.428359491565,
,28/08/2021,1630108800,4882778.814095287,,,4882778.814095287,157267679.0242397,172585258.95174414,260339.0451366861,4622439.7689586,,,,,260339.0451366861,4622439.7689586,157267679.0242397,85828808.91477755,86756450.03696658,,21840.52392086293,62054.500858619955,,,,,21840.52392086293,62054.500858619955,299443.41017562774,163421.18986058177,26805.224710561113,
,29/08/2021,1630195200,4991689.098855955,,,4991689.098855955,152201897.87230533,171231664.7978599,256189.34559172214,4735499.753264233,,,,,256189.34559172214,4735499.753264233,152201897.87230533,85320108.03379682,85911556.7640631,,21840.52392086293,61982.98106366796,,,,,21840.52392086293,61982.98106366796,297443.6151500984,166738.53436348803,26447.50822381098,
,30/08/2021,1630281600,4681854.396439016,,,4681854.396439016,147194060.93546408,174500454.3514596,244832.27315287344,4437022.123286142,,,,,244832.27315287344,4437022.123286142,147194060.93546408,88601386.73079656,85899067.62066303,,21840.52392086293,60334.81266366796,,,,,21840.52392086293,60334.81266366796,293519.3047289305,176679.80124989344,26256.944141692147,
,31/08/2021,1630368000,4589168.5402563,,,4589168.5402563,144875423.8237758,177785525.55000484,251166.02508992367,4338002.515166377,,,,,251166.02508992367,4338002.515166377,144875423.8237758,89332208.3458227,88453317.20418212,,21840.52392086293,59958.569663667964,,,,,21840.52392086293,59958.569663667964,291734.6432214575,179887.65273021083,25895.268531968148,
,01/09/2021,1630454400,4519876.762267714,,,4519876.762267714,156236985.57197154,195215678.22118664,88938.46412265136,4430938.298145063,,,,,88938.46412265136,4430938.298145063,156236985.57197154,97174157.0641832,98041521.15700343,,7126.479497007321,59958.569663667964,,,,,7126.479497007321,59958.569663667964,291530.42538433266,181322.1321543947,25953.526108514827,
,02/09/2021,1630540800,4434089.76339879,,,4434089.76339879,162690827.66602033,199886438.61660278,89864.90645726232,4344224.856941528,,,,,89864.90645726232,4344224.856941528,162690827.66602033,100575091.69384621,99311346.92275657,,7126.479497007321,59698.01919666796,,,,,7126.479497007321,59698.01919666796,293289.87699161784,181311.12057443746,26176.93027472266,
,03/09/2021,1630627200,4466122.220081729,,,4466122.220081729,175700889.41964012,210806379.84761095,87869.49219810027,4378252.727883629,,,,,87869.49219810027,4378252.727883629,175700889.41964012,105967502.63376045,104838877.2138505,,7126.479497007321,59698.01919666796,,,,,7126.479497007321,59698.01919666796,294691.37133883487,177732.2173589622,27020.259538983275,
,04/09/2021,1630713600,5177341.813342388,,,5177341.813342388,175057092.94924095,208319696.68147233,88083.28658301049,5089258.526759378,,,,,88083.28658301049,5089258.526759378,175057092.94924095,105183426.10605259,103136270.57541974,,7126.479497007321,59579.23819666796,,,,,7126.479497007321,59579.23819666796,297029.1383012776,178470.58861485778,26577.677081508788,
,05/09/2021,1630800000,4992999.645202859,,,4992999.645202859,169192449.66710398,208319725.9729671,91931.58551139444,4901068.0596914645,,,,,91931.58551139444,4901068.0596914645,169192449.66710398,105746876.73995228,102572849.23301479,,7126.479497007321,59565.72751204988,,,,,7126.479497007321,59565.72751204988,292396.74005790125,182750.7202059178,26059.446822628124,
,06/09/2021,1630886400,4823014.289242493,,,4823014.289242493,162870220.21261004,206401186.09283033,95282.49661109319,4727731.7926314,,,,,95282.49661109319,4727731.7926314,162870220.21261004,104006469.03665364,102394717.05617669,,7016.384139255758,59565.72751204988,,,,,7016.384139255758,59565.72751204988,289495.5922726805,184867.52406088452,25987.583450379097,
,07/09/2021,1630972800,3951234.3019300015,,,3951234.3019300015,140215141.4723612,179584051.0056579,75706.78486256962,3875527.517067432,,,,,75706.78486256962,3875527.517067432,140215141.4723612,90137376.26476027,89446674.74089766,,7016.384139255758,59541.05879654988,,,,,7016.384139255758,59541.05879654988,288877.047823069,185704.75970324338,26124.207699085153,
,08/09/2021,1631059200,4146637.1667363876,,,4146637.1667363876,145865626.6780426,185068897.29383594,77601.20858016869,4069035.9581562188,,,,,77601.20858016869,4069035.9581562188,145865626.6780426,93088999.52895069,91979897.76488523,,7016.384139255758,59541.05879654988,,,,,7016.384139255758,59541.05879654988,291655.4229461192,186129.60536050764,25951.791845091848,
,09/09/2021,1631145600,4186997.178572735,,,4186997.178572735,146245146.74038517,183196199.5118701,80758.58144283378,4106238.597129901,,,,,80758.58144283378,4106238.597129901,146245146.74038517,92757042.29355456,90439157.21831553,,7016.384139255758,59407.38711125435,,,,,7016.384139255758,59407.38711125435,292116.38450859935,185276.93011655993,26293.204294145762,
,10/09/2021,1631232000,3968350.1686346284,,,3968350.1686346284,133777718.06491642,169504126.59857643,74303.50803471847,3800884.627378053,,,,,74303.50803471847,3800884.627378053,133887450.40215592,85617570.07834792,83675884.91377197,,7016.384139255758,59407.38711125435,,,,,7016.384139255758,59407.38711125435,292101.0786328561,186791.10323402548,26270.791118030338,
,11/09/2021,1631318400,4171479.103119467,,,4171479.103119467,133765911.5983215,172169497.06514314,74650.81042111611,4096828.2926983507,,,,,74650.81042111611,4096828.2926983507,133765911.5983215,86481069.0143842,85688428.05075894,,6905.717892795199,59236.96201125435,,,,,6905.717892795199,59236.96201125435,291042.2131770882,188161.85247140878,26221.65278417276,
,12/09/2021,1631404800,4239128.266064697,,,4239128.266064697,139753583.1111194,181253600.18200618,72992.72781317905,4166135.5382515183,,,,,72992.72781317905,4166135.5382515183,139753583.1111194,90216883.84920055,91036716.33280562,,6605.676725174574,59236.96201125435,,,,,6605.676725174574,59236.96201125435,291268.59196581854,188026.2684170829,26530.333311808412,
,13/09/2021,1631491200,3938833.2705152417,,,3938833.2705152417,137273544.15006787,176269802.90071142,83099.41320269615,3855733.8573125456,,,,,83099.41320269615,3855733.8573125456,137273544.15006787,87185854.00251715,89083948.89819425,,6605.676725174574,59236.96201125435,,,,,6605.676725174574,59236.96201125435,291587.4594291769,185194.47300759837,27068.71371521811,
,14/09/2021,1631577600,4027288.482721281,,,4027288.482721281,142185224.3327499,183469941.18551087,89903.26022962596,3937385.222491655,,,,,89903.26022962596,3937385.222491655,142185224.3327499,90214791.62094529,93255149.5645656,,6605.676725174574,59048.96854366609,,,,,6605.676725174574,59048.96854366609,292972.1098095069,185887.23238470554,27245.759118298673,
,15/09/2021,1631664000,4165369.566164364,,,4165369.566164364,157281464.4183826,205902255.24386072,100802.626826164,4064566.9393382003,,,,,100802.626826164,4064566.9393382003,157281464.4183826,100399773.68039423,105502481.56346649,,6605.676725174574,58804.498543666086,,,,,6605.676725174574,58804.498543666086,293698.5815999078,187480.90394456647,28207.93749039923,
,16/09/2021,1631750400,4061969.6592491893,,,4061969.6592491893,154912688.4676815,199744866.78024304,96442.88018754878,3965526.7790616406,,,,,96442.88018754878,3965526.7790616406,154912688.4676815,99190584.37786956,100554282.40237348,,6605.676725174574,58800.812263666085,,,,,6605.676725174574,58800.812263666085,293690.0458181157,188049.7172879397,28195.450898367082,
,17/09/2021,1631836800,3960887.3712396,,,3960887.3712396,152160265.21201265,193184883.94785017,83561.81057345837,3877325.5606661416,,,,,83561.81057345837,3877325.5606661416,152160265.21201265,97675876.15995523,95509007.78789495,,6605.676725174574,58800.812263666085,,,,,6605.676725174574,58800.812263666085,294018.1349745182,188738.36017923025,27978.313077937873,
,18/09/2021,1631923200,3961754.7934171823,,,3961754.7934171823,151907682.78488386,193055741.29281312,83165.46996994788,3878589.3234472345,,,,,83165.46996994788,3878589.3234472345,151907682.78488386,96374654.62301931,96681086.6697938,,6605.676725174574,58748.702263666084,,,,,6605.676725174574,58748.702263666084,297013.7506792137,188434.16682572942,28167.11484635979,
